PLAYLIST,CLEANED_FEATURES_TRACK_NAME,ARTIST,DANCEABILITY,ENERGY,VALENCE,TEMPO
Feels 🤍,Naan Sonnadhum Mazhai,Naresh Iyer,0.552446796,0.7912618691,0.3089655686,89.1
Feels 🤍,Vinmeen,Nivas K Prasanna,0.5260629273,0.1919150216,0.4211113061,99.38
Feels 🤍,Usuraiya Tholaichaen,Stephen Zechariah,0,0.08012495446,0.431739177,117.45
Feels 🤍,Kodi Aruvi,Sean Roldan,0.5878278431,0.7205529365,0.4389295427,103.36
Feels 🤍,Ammadi Un Azhagu,D. Imman,0.3711197527,0.7043574139,0.4648033637,136
Feels 🤍,Thee Illai,Harris Jayaraj,0.4057353377,0.6266349662,0.4200340928,95.7
Feels 🤍,Yaaro Ivan,G. V. Prakash,0.8085676808,0.2882834267,0.482771104,86.13
Feels 🤍,Amma Amma,Anirudh Ravichander,0.2127972569,0.3549143421,0.4244748772,152
Feels 🤍,Kannamma,Pradeep Kumar,0.04359673292,0.09000408077,0.4060199542,123.05
Feels 🤍,Ennai Kollathey,Kumaresh,0.404942518,0.7433552283,0.4146490188,136
Feels 🤍,Paathagathi Kannupattu,Yuvan Shankar Raja,0.6046740458,0.3301221594,0.4200794989,99.38
Feels 🤍,Enakkoru Snehidhi,S.A. Rajkumar,0.5456538193,0.475678332,0.4215269333,86.13
Feels 🤍,Ennavo Ennavo,S.A. Rajkumar,0.6362901794,0.3006996725,0.4209700952,117.45
Feels 🤍,Moongil Kaadugalae,Hariharan,0.420330149,0.6338658159,0.3939076603,143.55
Feels 🤍,Yennachu Yedhachu,G. V. Prakash,0.4723864338,0.2404498715,0.4577417201,123.05
Feels 🤍,Yedi,G. V. Prakash,0.3734192746,0.1681385219,0.4229910571,107.67
Feels 🤍,Thaniye,Anirudh Ravichander,0.4032773145,0.4557985851,0.4532868787,117.45
Feels 🤍,Kolladhey,G. V. Prakash,0.306846802,0.3696387277,0.4119607654,107.67
Feels 🤍,Kannadi Poove,Santhosh Narayanan,0.508108235,0.693725669,0,172.27
Feels 🤍,Roja Kadale,Harris Jayaraj,0.7829154105,0.7152639157,0.318818896,143.55
Feels 🤍,Kalloorum,G. V. Prakash,0.354036974,0.1192098949,0.4220254549,123.05
Feels 🤍,Aaathi Adi Aaathi,G. V. Prakash,0.8796528133,0.3927345914,0.4171228165,99.38
Feels 🤍,Premalo,Vijai Bulganin,0.4866097627,0.5492564844,0.4213598276,143.55
Feels 🤍,Nenjil Mamazhai,B. Ajaneesh Loknath,0.5702905687,0.3185591471,0.4099747808,123.05
Retro🌙☁️,Maalayil Yaro Manathodu,Swarnalatha,0.3081424045,0.8096943998,0.4235528334,112.35
Retro🌙☁️,Mayanginen Solla Thayanginen,Ilaiyaraaja,0.3908244646,0.5875113398,0.4282499517,117.45
Retro🌙☁️,Nilaave Vaa,Ilaiyaraaja,0.2222288635,0.3839921066,0.38226511,112.35
Retro🌙☁️,Sangeetha Megam,S. P. Balasubrahmanyam,0.5425948712,0.3093459073,0.42082878,95.7
Retro🌙☁️,Ilaya Nila,Ilaiyaraaja,0.3673456678,0.6306052931,0.4227551072,107.67
Retro🌙☁️,Ninaivo Oru,S. Janaki,0.1969036685,0.7712428844,0.4263665889,129.2
Retro🌙☁️,Valaiyosai,Ilaiyaraaja,0.5086376699,0.3882735913,0.4062203377,123.05
Retro🌙☁️,Thenmadurai Vaigai Nadhi,Ilaiyaraaja,0.5506619719,0.6500867404,0.1546653591,136
Retro🌙☁️,Poththi Vachcha,S. P. Balasubrahmanyam,0.4783677776,0.8476306911,0.4224425139,112.35
Retro🌙☁️,Vaa Vaa Anbe,K. J. Yesudas,0.4627160564,0.19851221,0.3128989577,92.29
Retro🌙☁️,Chinna Ponnu Selai,Ilaiyaraaja,0.4248169407,0.560978495,0.4251370037,95.7
Retro🌙☁️,Kalyaana Thaen Nilaa,K J Yesudas K S Chithra,0.657236641,0.2620933188,0.4256305449,117.45
Retro🌙☁️,Nenjukkule Innarendru,S. P. Balasubrahmanyam,0.7606106358,0.9028742016,0.4207547998,143.55
Retro🌙☁️,Raja Raja Chozhan,K. J. Yesudas,0.6072264485,0.8178444462,0.4467961065,103.36
Retro🌙☁️,Sempoove Poove,S. P. Balasubrahmanyam,0.4243952898,0.4522687893,0.4271097897,112.35
