track_name,danceability,energy,valence,tempo
Mazhaiye_Mazhaiye,0.0551,0.1098,0.3286,99.38
I_Don_t_Wanna_Live_Forever__Fifty_Shades_Darker_,0.0618,0.0401,-0.1189,123.05
Chinna_Chinna_Kangal__From__The_Greatest_Of_All_Time__,0.068,0.1916,-1.2637,152.0
Chinna_Ponnu_Selai,0.1314,0.1519,0.2005,95.7
Scars_To_Your_Beautiful,0.1271,0.197,0.2509,129.2
Nira___From__Takkar_,0.0601,0.2286,0.1297,117.45
Poove_Sem_Poove___Male,0.1387,0.061,-0.1477,136.0
Oh_Oh__From__Thanga_Magan_____The_First_Love_of_Tamizh,0.0509,0.0701,0.181,172.27
Iravaaga_Nee,0.1085,0.0859,-0.6564,129.2
Yedhedho_Pennae,0.1016,0.0726,0.2117,107.67
Ammadi_Un_Azhagu,0.1268,0.1857,0.6937,136.0
Happier,0.0671,0.0706,-0.1172,89.1
Ayyayo,0.078,0.1389,0.8186,143.55
