PLAYLIST,CLEANED_FEATURES_TRACK_NAME,ARTIST,DANCEABILITY,ENERGY,VALENCE,TEMPO
Feels 🤍,Ennavo Ennavo,S.A. Rajkumar,0.0691,0.0903,0.1769,117.45
Feels 🤍,Moongil Kaadugalae,Hariharan,0.0775,0.1691,,143.55
Feels 🤍,Yennachu Yedhachu,G. V. Prakash,0.0837,0.0761,1.5091,123.05
Feels 🤍,Yedi,G. V. Prakash,0.1038,0.059,0.1645,107.67
Feels 🤍,Kolladhey,G. V. Prakash,0.1355,0.1066,,107.67
Feels 🤍,Kannadi Poove,Santhosh Narayanan,0.1356,0.1832,,172.27
Feels 🤍,Roja Kadale,Harris Jayaraj,0.0716,0.1883,,143.55
Retro🌙☁️,Maalayil Yaro Manathodu,Swarnalatha,0.0728,0.1251,0.3286,112.35
Retro🌙☁️,Mayanginen Solla Thayanginen,Ilaiyaraaja,0.1103,0.1581,0.2358,117.45
Retro🌙☁️,Nilaave Vaa,Ilaiyaraaja,0.0898,0.11,,112.35
Retro🌙☁️,Sangeetha Megam,S. P. Balasubrahmanyam,0.0586,0.0924,0.1837,95.7
Retro🌙☁️,Ilaya Nila,Ilaiyaraaja,0.1292,0.1683,0.1695,107.67
Retro🌙☁️,Ninaivo Oru,S. Janaki,0.0964,0.2016,0.1917,129.2
Retro🌙☁️,Valaiyosai,Ilaiyaraaja,0.1124,0.111,,123.05
Retro🌙☁️,Thenmadurai Vaigai Nadhi,Ilaiyaraaja,0.0686,0.1729,1.2018,136
Retro🌙☁️,Poththi Vachcha,S. P. Balasubrahmanyam,0.054,0.2196,0.1728,112.35
Retro🌙☁️,Vaa Vaa Anbe,K. J. Yesudas,0.0817,0.0662,,92.29
Retro🌙☁️,Chinna Ponnu Selai,Ilaiyaraaja,0.1314,0.1519,0.2005,95.7
Retro🌙☁️,Kalyaana Thaen Nilaa,K J Yesudas K S Chithra,0.1292,0.0812,0.2056,117.45
Retro🌙☁️,Nenjukkule Innarendru,S. P. Balasubrahmanyam,0.0724,0.2327,0.1684,143.55
Retro🌙☁️,Raja Raja Chozhan,K. J. Yesudas,0.0611,0.2126,0.5653,103.36
Retro🌙☁️,Sempoove Poove,S. P. Balasubrahmanyam,0.1158,0.1261,0.2341,112.35
